RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02
394444,"Carson City, NV",382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202200,189100,192400,205e3,217900,213500,214600,210600,211100,215700,217e3,217600,217700,224400,228800,230600,225600,230400,233500,239800,243100,245100,250900,249200,250300,248900,254600,261600,265900,266600,268700,265600,272e3,266100,273700,274300,279900,28e4,285900,294500,308400,299800,301900,293900,303200,296900,294200,293400,295500,304400,
394432,"Calhoun, GA",383,,,,,,,,,,,,,113600,107900,103e3,93600,88400,96700,101300,106200,98200,100500,94400,93900,92700,1e5,102e3,94500,89200,83600,85900,95500,96800,93200,75400,69300,67900,80300,87400,87900,77600,75500,73800,77100,77600,73600,70100,65300,70400,75400,79700,80100,81e3,82300,82900,77e3,72200,69e3,73e3,7e4,71200,71300,77500,79200,77300,82100,85300,93900,91700,86100,84800,86300,91e3,87900,89100,93200,96e3,92500,91e3,88e3,83100,87200,89900,102300,105300,106600,101e3,1e5,102600,115e3,109300,110400,106500,111800,109700,108300,109800,112e3,114600,111400,113900,113800,121500,119800,122300,117800,114300,113e3,119e3,126100,127700,128200,125700,121700,119200,122900,124700,125700,124300,124900,126500,133e3,133700,133300,126200,131600,133300,139900,136200,131700,124400,
394721,"Jasper, IN",384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124500,127200,133100,128100,130100,132700,129100,127900,121900,126500,129900,130100,123300,124500,111500,118900,116600,127600,123900,131e3,138500,115600,112100,112e3,141600,125200,124800,118400,120600,123600,131e3,147900,148300,137700,128500,128100,129700,134200,128e3,139400,136100,135500,126600,124900,131500,137e3,141900,144400,142800,144600,145900,137100,123600,120300,130400,142200,137200,135e3,140100,139800,148600,144e3,149600,146300,156e3,154700,145500,128100,133300,142e3,155900,154800,152900,144e3,141800,142800,139700,
394940,"Ontario, OR",385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128800,130500,126300,127700,121900,127800,123200,126800,122500,127900,124800,125900,119e3,118300,123700,131e3,128800,124900,119600,130600,129700,129300,121500,126700,135400,136700,127e3,124700,127800,135100,137900,137600,139200,134400,130900,120200,125200,133900,154e3,148100,145800,139e3,147700,144e3,141e3,139300,147e3,149100,146800,139800,142400,144300,156200,154200,166300,157400,161200,153900,155700,153700,155200,158500,158900,155900,151100,154400,146700,
394652,"Greenville, OH",386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105800,113900,99700,110800,96400,103500,99800,114e3,120900,117700,123100,126500,128500,123600,117900,122500,119700,113800,103200,106200,113300,122100,118500,116200,111500,108300,118300,118100,112100,107800,119100,137200,139300,136400,128800,124600,127300,135800,135200,133400,129800,136500,127500,115900,99600,94300,101900,105500,108900,104300,101300,97700,93e3,91100,95600,113200,114100,117e3,99500,98400,94600,96500,97300,97500,102300,107e3,112500,117200,118700,118200,115900,111500,105400,111100,110900,113700,98900,97500,99800,103400
394625,"Galesburg, IL",387,6e4,65700,65400,63400,59700,56e3,57900,57800,55300,50200,49200,52e3,53800,53e3,54600,53800,61300,63e3,63800,57800,59e3,58900,59900,55300,60700,59300,66600,71300,71e3,66500,59100,58400,58600,57e3,63300,63100,66800,64900,60900,61900,60300,6e4,57200,57300,61600,59400,55600,48600,47100,51500,56400,61500,62100,68600,70200,69800,67600,77300,77200,80800,71100,73100,73300,72100,70900,67100,64900,64300,63300,61800,61100,58900,56100,57500,56200,60200,61100,62500,61600,62800,68e3,73100,71600,68300,69900,70400,73800,71100,68600,68900,71200,75500,72700,63600,66900,68400,73700,68700,66600,68500,68200,69200,67400,64200,65e3,67900,64800,72300,79200,86400,79900,67300,68700,74300,77300,74200,65100,61100,60400,63700,70100,75100,77900,81500,78700,87900,83500,88400,77900,,,
395204,"Warrensburg, MO",388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148500,149700,158300,153e3,157900,153500,160600,16e4,162400,161700,160300,160800,159100,165e3,165300,172e3,170100,178400,165900,155700,151300,161100,176e3,170300,164800,159e3,164600,175100,180700,180100,178e3,
394344,"Athens, TN",389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93700,83100,76100,78500,98100,98200,102200,89100,87700,86100,81100,77e3,72600,85e3,94800,95700,95800,97500,100200,94900,88100,84700,91500,100400,111900,106700,106300,99800,100800,99100,101600,105400,113300,117e3,112900,101100,99300,100700,101400,108800,109300,110800,101100,1e5,104400,103200,97500,101600,105700,107800,104900,102800,112700,116e3,123900,123100,128400,124e3,
394556,"Edwards, CO",390,,,,,,,,,,,,,,,,,593500,660900,669200,637200,619e3,592100,646e3,659900,657e3,617300,562400,582600,579300,622400,653100,653700,605600,598100,533300,531800,491300,500800,449600,422400,406300,454500,449400,516600,506700,533700,515500,478100,466700,380300,392500,384800,424e3,426600,435500,451100,438100,464700,454700,521100,494800,532400,478600,492700,491700,485500,511e3,522700,517300,502900,501200,662800,624300,629800,494e3,531700,512600,533100,536800,553700,508e3,524200,571500,644800,654400,565800,554400,541200,580800,560700,569700,550800,544700,520300,528e3,524e3,532900,535600,515700,549600,594300,641600,615800,588200,585100,601400,613e3,598800,587700,567100,588700,582100,591600,584300,578600,592500,596600,612300,598100,604600,606500,606800,598200,627300,645400,698e3,707900,729700,689700,667400,645300,665600
394547,"Durango, CO",391,360300,358100,343300,351700,352900,333700,324500,311400,339600,336e3,321300,307200,291500,316300,319200,323500,310300,307700,313700,303200,325900,336500,352700,328e3,315100,322200,326800,327700,311800,316100,335100,352e3,339500,321600,311300,316200,318e3,317400,306500,311200,301600,317500,320500,314900,315e3,294e3,294100,300100,299800,307700,280100,293900,291800,309600,32e4,326700,327300,323200,331700,324700,319200,329300,334600,331e3,314e3,302600,310400,305900,320400,320100,323300,327100,332900,332200,334400,348500,350900,349700,334800,336300,350400,351900,353600,340200,338500,339400,334400,342200,348500,346600,342500,343600,333e3,324400,322e3,331500,347400,371600,365700,357900,330800,352300,352300,371100,358400,366800,363700,363700,360800,354300,360700,358200,368e3,367200,377200,367e3,372600,376300,371300,385300,371600,398200,380100,382900,365500,385200,398400,398700,407e3,396700,407e3,
